"muscles_p1-combined.Label-Analysis"
"Length3d","VoxelFaceArea","Volume3d","OrientationPhi","index","Materials"
3.27225,3.91582,0.0990665,9.41532,362,""
1.50023,1.02642,0.0217938,14.3143,363,""
2.66338,2.69824,0.0801129,8.75078,364,""
2.2336,2.33731,0.061684,17.4252,365,""
3.25788,4.85347,0.106228,6.91307,366,""
2.99468,1.8714,0.0350264,10.1434,367,""
1.12485,0.541722,0.00875369,9.17585,368,""
1.3793,1.00374,0.0173324,4.05641,369,""
1.66418,1.13269,0.0172566,37.2456,370,""
2.64906,1.52732,0.0264652,13.1116,371,""
2.41258,1.89344,0.0403043,9.91588,372,""
0.670619,0.531354,0.00901612,29.7064,373,""
2.1135,1.49557,0.0273691,15.0478,374,""
2.6974,3.99034,0.102041,16.0687,375,""
2.81199,2.96651,0.0614216,8.31043,376,""
2.04551,1.56296,0.0315214,15.2305,377,""
0.50254,0.32594,0.00491046,19.0704,378,""
1.67599,1.45798,0.0310665,22.7614,379,""
1.61318,1.34264,0.0265352,28.3569,380,""
1.23929,0.727696,0.00974511,46.6817,381,""
0.999429,0.470443,0.00661338,28.7688,382,""
1.57087,0.763984,0.012072,19.2353,383,""
1.94871,1.36597,0.029836,6.14613,384,""
1.68372,1.15213,0.0224762,22.9786,385,""
1.18269,0.878678,0.0138858,29.7143,386,""
2.16902,1.20008,0.0192744,7.97339,387,""
2.09104,2.61984,0.0484631,25.595,388,""
2.61138,2.5181,0.0588731,18.6476,389,""
2.86218,1.97638,0.0390621,14.4591,390,""
3.36606,2.80711,0.065743,15.6452,391,""
2.86925,2.85246,0.061929,16.8868,392,""
2.46456,2.61854,0.0686648,14.0563,393,""
2.96055,2.43192,0.0506326,19.9432,394,""
1.2302,0.769167,0.0100834,17.9308,395,""
1.90542,1.21369,0.0188079,24.1308,396,""
3.54779,4.29749,0.124225,14.2015,397,""
3.69241,3.86398,0.113372,19.8091,398,""
3.96228,4.22297,0.123776,20.2379,399,""
3.5648,2.90949,0.0683441,22.2794,400,""
3.76994,4.35257,0.10435,20.7851,401,""
4.25299,4.43551,0.0981043,18.1558,402,""
3.82778,5.18589,0.169143,22.7758,403,""
3.6778,4.33183,0.151023,22.5369,404,""
3.6533,3.62293,0.0881201,23.0629,405,""
3.51047,2.53041,0.0491163,23.2023,406,""
3.21799,2.44812,0.0534377,20.2793,407,""
3.06449,3.22052,0.0694521,16.9289,408,""
2.41456,1.13464,0.0160027,21.9949,409,""
2.95503,2.56087,0.0488189,18.7814,410,""
3.3365,4.16206,0.102023,20.658,411,""
1.87556,1.54611,0.0335334,28.287,412,""
3.53316,3.71883,0.0881434,25.2193,413,""
4.19718,4.03116,0.0922082,21.3755,414,""
3.78589,3.25422,0.07487,23.8672,415,""
3.2224,2.50838,0.0540151,23.4609,416,""
3.9255,3.56137,0.0997489,23.4989,417,""
3.77008,2.85311,0.0589955,18.9816,418,""
4.24238,3.37021,0.0674518,19.4978,419,""
4.47101,5.2954,0.175103,16.6423,420,""
4.66921,3.65857,0.0904995,19.803,421,""
4.88911,4.73359,0.125619,20.4604,422,""
3.01091,2.39174,0.052178,22.5568,423,""
4.53233,4.25861,0.0990957,19.399,424,""
4.26889,2.71315,0.0514491,20.2076,425,""
2.66873,1.84484,0.0373883,22.9569,426,""
4.66915,3.04945,0.0598412,18.4698,427,""
4.71427,3.69939,0.0689389,26.3962,428,""
5.11604,3.6644,0.0757448,23.4637,429,""
4.05439,3.92813,0.0725955,14.4387,430,""
4.50753,4.27416,0.103388,18.6473,431,""
4.56984,2.59068,0.0451973,20.6221,432,""
4.89688,4.62408,0.107342,20.1987,433,""
4.76126,5.4237,0.154773,22.0266,434,""
4.50028,5.99588,0.149063,24.3678,435,""
4.67019,3.43177,0.0772494,20.3724,436,""
4.83741,4.9889,0.132303,22.0652,437,""
4.87444,5.49563,0.155998,19.8289,438,""
4.51199,4.55215,0.103919,23.5864,439,""
4.76393,3.26653,0.062588,22.2104,440,""
4.11536,4.14003,0.0925406,21.6425,441,""
3.29614,2.66649,0.060576,23.6345,442,""
3.93337,4.21843,0.14427,23.6219,443,""
4.00962,3.08509,0.0717149,22.3642,444,""
4.12659,4.60205,0.0931005,22.5424,445,""
3.90991,2.63668,0.0515657,23.0094,446,""
2.97325,2.31139,0.0553914,25.5398,447,""
2.646,2.54532,0.0675509,25.5537,448,""
3.60997,2.90236,0.0710967,23.7016,449,""
3.81323,4.65259,0.124552,22.9785,450,""
3.87375,2.75397,0.0593921,26.5215,451,""
3.62022,2.44099,0.0499153,24.3699,452,""
3.59861,3.42464,0.0996264,26.1751,453,""
3.33715,2.93606,0.0758847,23.2797,454,""
3.11898,2.21743,0.0450981,23.3086,455,""
3.04978,4.04736,0.114288,26.7546,456,""
4.71381,3.75123,0.0872103,21.8473,457,""
4.75441,5.06277,0.130221,24.2492,458,""
3.85161,3.18294,0.0756398,25.9876,459,""
4.45501,4.68952,0.105272,25.1237,460,""
3.44798,2.59068,0.0526271,25.8401,461,""
4.38898,2.89782,0.0603485,20.7205,462,""
4.73585,3.05917,0.0588556,22.965,463,""
4.68062,4.70961,0.116691,21.1558,464,""
3.4124,2.53689,0.0534436,27.5344,465,""
3.8695,3.48879,0.0915376,26.1273,466,""
4.34192,4.84115,0.137458,27.8638,467,""
3.57032,3.69874,0.10172,23.7792,468,""
2.67367,2.74749,0.0747767,26.6933,469,""
3.40088,3.12786,0.0769811,24.3622,470,""
3.80334,5.28373,0.159427,25.7386,471,""
3.15287,3.70522,0.118498,20.6383,472,""
3.48059,4.00265,0.114993,29.5864,473,""
3.80065,3.91841,0.103545,28.2449,474,""
2.51288,2.01331,0.0450748,26.2915,475,""
2.24157,1.53186,0.0291479,25.7168,476,""
4.62161,6.35681,0.22328,24.8958,477,""
4.7578,6.71256,0.206502,23.8016,478,""
4.24233,2.86348,0.0567677,23.5235,479,""
4.06096,2.84598,0.0486206,26.57,480,""
3.27077,3.77197,0.123438,26.5939,481,""
2.52547,1.38152,0.0233684,22.3306,482,""
3.13511,2.36777,0.0514257,25.2755,483,""
2.8089,2.79868,0.0659122,32.3837,484,""
3.66766,2.66001,0.0515249,23.9633,485,""
4.42783,5.46128,0.134944,28.0652,486,""
2.76404,2.20382,0.0488014,32.2212,487,""
1.56863,1.60054,0.0451156,30.0928,488,""
4.05195,3.72531,0.0892514,25.844,489,""
4.18008,4.24759,0.113419,27.2277,490,""
4.21002,5.29669,0.178882,25.1965,491,""
2.99924,2.48635,0.0503293,26.108,492,""
3.11498,4.64481,0.146929,31.8334,493,""
3.52446,3.4862,0.0737444,30.3613,494,""
4.5035,5.14441,0.143208,26.253,495,""
3.39024,2.60234,0.0506442,31.4079,496,""
3.32848,2.32111,0.04066,50.737,497,""
4.30214,4.81718,0.130675,26.4388,498,""
4.16939,3.85556,0.0793255,27.2868,499,""
3.75738,2.97753,0.0672885,23.813,500,""
3.89482,3.6644,0.101184,24.5969,501,""
0.957127,0.784071,0.0186913,31.9664,502,""
2.27872,2.38008,0.0704786,28.6532,503,""
1.68563,2.05608,0.0514607,22.1935,504,""
3.19852,4.04607,0.131247,34.5077,505,""
0.676851,0.721864,0.0203242,39.6512,506,""
1.68981,1.46576,0.0369626,37.4122,507,""
1.54759,1.53639,0.0415057,33.4198,508,""
1.93327,2.25826,0.0671252,40.2117,509,""
3.20282,3.77521,0.114346,26.923,510,""
3.08254,3.13629,0.083647,23.777,511,""
2.20991,1.82669,0.0327053,22.9443,512,""
1.99256,1.95759,0.0500494,27.5787,513,""
2.19004,2.45848,0.0682041,26.0334,514,""
2.65584,2.07811,0.0477516,32.9453,515,""
2.3193,2.58484,0.06793,29.1202,516,""
1.99261,2.01072,0.0518806,37.6776,517,""
1.96919,1.85909,0.0456988,34.9046,518,""
1.4959,1.40679,0.0369334,18.1528,519,""
1.82658,1.80207,0.0480024,30.4933,520,""
1.8472,2.38008,0.0764563,24.2993,521,""
1.81062,2.22391,0.0622031,30.4575,522,""
1.2109,1.13658,0.0267393,15.9805,523,""
0.839803,0.505434,0.00699828,45.0097,524,""
1.72305,1.78911,0.0490988,30.6233,525,""
1.54932,1.07502,0.0214497,25.6128,526,""
2.03732,1.46706,0.0338075,22.7994,527,""
1.30482,0.776295,0.0127194,50.266,528,""
2.64769,2.11764,0.0398669,50.7979,529,""
2.68484,1.25257,0.016895,52.9673,530,""
1.80044,1.54741,0.0277074,34.7154,531,""
3.94205,4.11475,0.0972178,28.6508,532,""
4.02211,4.78478,0.127754,19.8065,533,""
4.20875,3.77067,0.10042,23.3308,534,""
4.12946,5.23449,0.120213,23.2091,535,""
2.79563,1.97249,0.0379657,26.7587,536,""
3.06901,2.37943,0.0501427,27.3738,537,""
3.6229,2.99826,0.0655623,33.0246,538,""
1.85055,1.2908,0.0193619,18.5516,539,""
1.99566,1.54028,0.0368285,25.5136,540,""
4.36147,5.07702,0.139464,23.2095,541,""
3.55507,3.21923,0.0763863,33.8927,542,""
2.89649,2.60688,0.0587039,33.5551,543,""
1.8633,1.28108,0.0249197,21.0615,544,""
3.44928,3.21016,0.076707,25.7329,545,""
3.39673,2.69759,0.0642792,23.1622,546,""
3.74207,3.84908,0.0991015,27.1918,547,""
4.02098,3.12268,0.069353,25.9482,548,""
3.14185,2.69889,0.0658247,29.8561,549,""
3.04144,2.26279,0.0507492,26.8088,550,""
3.3881,2.64835,0.0521955,20.7823,551,""
2.42675,2.00943,0.0439142,29.2713,552,""
3.19267,2.00295,0.0379424,25.0531,553,""
3.07766,2.24854,0.0445091,26.5428,554,""
1.34371,0.723808,0.0126202,18.3275,555,""
2.52423,1.82216,0.0380707,31.8995,556,""
1.27513,1.55259,0.038164,32.5828,557,""
