"muscles_p1-final.Label-Analysis---orientation"
"BaryCenterX","BaryCenterY","BaryCenterZ","Length3d","Length3dInputX","Length3dInputY","Length3dInputZ","Length3dOutputX","Length3dOutputY","Length3dOutputZ","LengthOrientPhi","LengthOrientTheta","Volume3d","index"
30.3188,29.7449,36.1623,2.36969,30.6538,29.8978,35.0998,30.0778,29.8258,37.4038,5.72958,180,0.0256079,138
30.6229,29.9238,36.4324,2.37418,31.1038,30.1678,35.2258,30.3478,29.9518,37.4938,31.1165,-166.64,0.0325245,139
30.0419,29.8462,36.1637,2.78156,30.2218,30.1858,34.7758,29.8258,29.8438,37.5118,5.72958,180,0.0656964,140
29.773,30.0458,36.1974,2.72968,30.1678,30.1498,34.8118,29.5738,30.1498,37.4758,5.72958,180,0.0413948,141
29.8412,29.9226,36.4546,1.80543,30.0418,30.0778,35.6938,29.7358,30.0238,37.4578,5.72958,180,0.0201434,142
30.3692,29.6375,36.2754,2.15477,30.7798,29.7178,35.2078,30.2038,29.6818,37.2958,5.72958,180,0.0230185,143
30.1706,29.6244,36.4998,2.39299,30.6358,29.7358,35.1898,30.0058,29.7178,37.5118,5.72958,180,0.0260744,144
30.3189,29.1515,36.3806,2.80677,30.7978,29.5018,34.9738,29.9698,29.1778,37.6918,5.72958,180,0.0577417,145
30.5604,30.9406,36.1736,2.07953,30.9238,31.1398,35.1538,30.3838,30.9058,37.1698,5.72958,180,0.0315156,146
30.9195,31.1405,36.3036,1.9595,31.1938,31.2478,35.4418,30.7798,31.1038,37.3498,5.72958,180,0.0184521,147
30.8491,31.2259,35.5892,1.14341,31.0318,31.3558,35.1538,30.5818,30.9958,36.1438,31.1165,-166.64,0.00512624,148
30.9473,30.7532,36.5693,1.47295,31.2838,30.8158,35.8018,30.7978,30.8158,37.2058,31.1165,-166.64,0.0106257,149
31.6776,30.214,36.3321,1.47233,31.8778,30.1318,35.6398,31.4998,30.3298,37.0618,5.72958,180,0.0199043,150
31.7238,30.3706,36.4754,1.23771,31.9498,30.4378,35.8558,31.5898,30.4198,37.0438,5.72958,180,0.0152563,151
31.9607,30.3803,36.4343,1.22684,32.2198,30.4018,35.9098,31.7158,30.4738,37.0258,31.1165,-166.64,0.00815883,152
32.0589,30.2422,36.3269,0.851693,32.1838,30.2938,35.9098,31.8778,30.2218,36.6838,31.1165,-166.64,0.00556364,153
32.1812,30.4794,36.3903,1.01224,32.3458,30.5818,35.9098,32.0398,30.4558,36.8638,31.1165,-166.64,0.00767478,154
32.0566,30.0725,36.3777,0.971216,32.2378,30.0958,35.9458,31.8958,30.0778,36.8458,31.1165,-166.64,0.00687581,155
32.1882,29.8649,36.3196,1.00762,32.4358,29.7358,35.8738,32.0038,29.9878,36.7198,34.0544,142.221,0.00707993,156
32.0041,29.7653,36.3837,1.04538,32.2738,29.6638,35.9278,31.7878,29.8258,36.8278,34.0544,142.221,0.00647341,157
31.7962,29.9116,36.3193,0.856748,31.9138,29.7538,35.9818,31.7158,30.0418,36.7558,34.0544,142.221,0.0082813,158
31.578,29.3131,36.6918,0.634567,31.6798,29.2318,36.4318,31.4818,29.3938,36.9898,34.0544,142.221,0.00345249,159
31.268,29.0989,36.5259,1.46579,31.6438,29.2498,35.9458,31.0138,29.1418,37.2418,31.1165,-166.64,0.0259053,160
31.1727,28.9747,36.3363,1.89858,31.4638,29.1238,35.4058,31.1218,28.9618,37.2598,5.72958,180,0.0246864,161
29.9678,28.7038,36.4531,3.42272,30.1678,28.7818,34.8478,29.8078,28.7998,38.2318,5.72958,180,0.127456,162
30.0874,28.4787,36.646,3.23104,30.3838,28.3678,34.9378,30.1498,28.7098,38.1418,5.72958,180,0.0433252,163
29.9797,28.3403,36.7228,3.37079,30.3658,28.1518,35.0818,29.9878,28.7458,38.4118,5.72958,180,0.0717791,164
29.3272,29.6704,36.9022,1.28958,29.4118,29.7538,36.2338,29.2498,29.7538,37.4938,5.72958,180,0.0198518,165
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,166
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,167
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,168
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,169
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,170
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,171
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,172
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,173
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,174
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,175
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,176
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,177
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,178
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,179
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,180
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,181
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,182
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,183
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,184
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,185
28.0242,28.2932,35.78,1.69426,27.9538,28.2418,34.9558,28.0438,28.2778,36.6478,5.72958,180,0.0341225,186
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,187
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,188
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,189
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,190
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,191
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,192
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,193
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,194
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,195
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,196
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,197
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,198
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,199
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,200
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,201
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,202
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,203
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,204
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,205
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,206
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,207
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,208
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,209
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,210
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,211
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,212
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,213
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,214
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,215
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,216
