"muscles_p1-final.Label-Analysis"
"Volume3d","Length3d","LengthOrientPhi","LengthOrientTheta","index","Materials"
0.175103,4.47101,27.6049,91.7724,415,""
0.0904995,4.66921,27.6049,91.7724,416,""
0.125619,4.88911,27.6049,91.7724,417,""
0.052178,3.01091,27.6049,91.7724,418,""
0.0990957,4.53233,27.6049,91.7724,419,""
0.0514491,4.26889,27.6049,91.7724,420,""
0.0373883,2.66873,22.6546,29.5546,421,""
0.0598412,4.66915,27.6049,91.7724,422,""
0.0689389,4.71427,22.6546,29.5546,423,""
0.0757448,5.11604,27.6049,91.7724,424,""
0.0725955,4.05439,22.6546,29.5546,425,""
0.103388,4.50753,27.6049,91.7724,426,""
0.0451973,4.56984,27.6049,91.7724,427,""
0.107342,4.89688,27.6049,91.7724,428,""
0.154773,4.76126,22.6546,29.5546,429,""
0.149063,4.50028,22.6546,29.5546,430,""
0.0772494,4.67019,27.6049,91.7724,431,""
0.132303,4.83741,27.6049,91.7724,432,""
0.155998,4.87444,22.6546,29.5546,433,""
0.103919,4.51199,27.6049,91.7724,434,""
0.062588,4.76393,27.6049,91.7724,435,""
0.0925406,4.11536,27.6049,91.7724,436,""
0.060576,3.29614,27.6049,91.7724,437,""
0.14427,3.93337,27.6049,91.7724,438,""
0,-inf,5.72958,180,439,""
0.0931005,4.12659,27.6049,91.7724,440,""
0.0515657,3.90991,27.6049,91.7724,441,""
0.0553914,2.97325,27.6049,91.7724,442,""
0.0675509,2.646,27.6049,91.7724,443,""
0,-inf,5.72958,180,444,""
0,-inf,5.72958,180,445,""
0,-inf,5.72958,180,446,""
0,-inf,5.72958,180,447,""
0,-inf,5.72958,180,448,""
0.0758847,3.33715,27.6049,91.7724,449,""
0.0450981,3.11898,27.6049,91.7724,450,""
0,-inf,5.72958,180,451,""
0.0872103,4.71381,27.6049,91.7724,452,""
0.130221,4.75441,27.6049,91.7724,453,""
0.0756398,3.85161,22.6546,29.5546,454,""
0.105272,4.45501,27.6049,91.7724,455,""
0.0526271,3.44798,27.6049,91.7724,456,""
0.0603485,4.38898,22.6546,29.5546,457,""
0.0588556,4.73585,27.6049,91.7724,458,""
0.116691,4.68062,27.6049,91.7724,459,""
0.0534436,3.4124,22.6546,29.5546,460,""
0,-inf,5.72958,180,461,""
0,-inf,5.72958,180,462,""
0,-inf,5.72958,180,463,""
0,-inf,5.72958,180,464,""
0,-inf,5.72958,180,465,""
0,-inf,5.72958,180,466,""
0,-inf,5.72958,180,467,""
0.114993,3.48059,27.6049,91.7724,468,""
0.103545,3.80065,22.6546,29.5546,469,""
0.0450748,2.51288,22.6546,29.5546,470,""
0.0291479,2.24157,22.6546,29.5546,471,""
0.22328,4.62161,27.6049,91.7724,472,""
0.206502,4.7578,22.6546,29.5546,473,""
0.0567677,4.24233,27.6049,91.7724,474,""
0.0486206,4.06096,27.6049,91.7724,475,""
0.200559,4.75874,27.6049,91.7724,476,""
0.0233684,2.52547,27.6049,91.7724,477,""
0.0514257,3.13511,27.6049,91.7724,478,""
0.106007,4.28326,22.6546,29.5546,479,""
0.0515249,3.66766,27.6049,91.7724,480,""
0.162652,4.44578,22.6546,29.5546,481,""
0.0488014,2.76404,27.6049,91.7724,482,""
0.0451156,1.56863,27.6049,91.7724,483,""
0.0892514,4.05195,27.6049,91.7724,484,""
0,-inf,5.72958,180,485,""
0.178882,4.21002,27.6049,91.7724,486,""
0.0503293,2.99924,27.6049,91.7724,487,""
0.146929,3.11498,27.6049,91.7724,488,""
0.0737444,3.52446,22.6546,29.5546,489,""
0.143208,4.5035,27.6049,91.7724,490,""
0.0506442,3.39024,22.6546,29.5546,491,""
0,-inf,5.72958,180,492,""
0.130675,4.30214,22.6546,29.5546,493,""
0.0793255,4.16939,22.6546,29.5546,494,""
0.0672885,3.75738,27.6049,91.7724,495,""
0.101184,3.89482,27.6049,91.7724,496,""
0.0186913,0.957127,27.6049,91.7724,497,""
0.0704786,2.27872,27.6049,91.7724,498,""
0,-inf,5.72958,180,499,""
0.131247,3.19852,47.4118,55.3851,500,""
0.0203242,0.676851,27.6049,91.7724,501,""
0,-inf,5.72958,180,502,""
0,-inf,5.72958,180,503,""
0,-inf,5.72958,180,504,""
0,-inf,5.72958,180,505,""
0,-inf,5.72958,180,506,""
0,-inf,5.72958,180,507,""
0,-inf,5.72958,180,508,""
0,-inf,5.72958,180,509,""
0,-inf,5.72958,180,510,""
0,-inf,5.72958,180,511,""
0,-inf,5.72958,180,512,""
0,-inf,5.72958,180,513,""
0,-inf,5.72958,180,514,""
0,-inf,5.72958,180,515,""
0,-inf,5.72958,180,516,""
0,-inf,5.72958,180,517,""
0,-inf,5.72958,180,518,""
0,-inf,5.72958,180,519,""
0,-inf,5.72958,180,520,""
0,-inf,5.72958,180,521,""
0,-inf,5.72958,180,522,""
0,-inf,5.72958,180,523,""
0,-inf,5.72958,180,524,""
0.0972178,3.94205,27.6049,91.7724,525,""
0.127754,4.02211,27.6049,91.7724,526,""
0.10042,4.20875,27.6049,91.7724,527,""
0.120213,4.12946,27.6049,91.7724,528,""
0.0379657,2.79563,27.6049,91.7724,529,""
0.0501427,3.06901,27.6049,91.7724,530,""
0.0655623,3.6229,27.6049,91.7724,531,""
0.0193619,1.85055,27.6049,91.7724,532,""
0,-inf,5.72958,180,533,""
0.139464,4.36147,27.6049,91.7724,534,""
0.0763863,3.55507,27.6049,91.7724,535,""
0.0587039,2.89649,27.6049,91.7724,536,""
0.0249197,1.8633,27.6049,91.7724,537,""
0.076707,3.44928,27.6049,91.7724,538,""
0.0642792,3.39673,27.6049,91.7724,539,""
