"muscles_p1-dorsal.Label-Analysis---dorsal"
"Volume3d","Length3d","index","Materials"
0.0326353,2.48673,354,""
0.11129,3.37438,355,""
0.0483873,3.46053,356,""
0.0990665,3.27225,357,""
0.0217938,1.50023,358,""
0.0801129,2.66338,359,""
0.061684,2.2336,360,""
0.106228,3.25788,361,""
0.0350264,2.99468,362,""
0.00875369,1.12485,363,""
0.0173324,1.3793,364,""
0.0172566,1.66418,365,""
0.0264652,2.64906,366,""
0.0403043,2.41258,367,""
0.0588672,3.09154,368,""
0.0273691,2.1135,369,""
0.102041,2.6974,370,""
0.0614216,2.81199,371,""
0.0315214,2.04551,372,""
0.00491046,0.50254,373,""
0.0310665,1.67599,374,""
0.0265352,1.61318,375,""
0.00974511,1.23929,376,""
0.00661338,0.999429,377,""
0.012072,1.57087,378,""
0.029836,1.94871,379,""
0.0224762,1.68372,380,""
0.0138858,1.18269,381,""
0.0192744,2.16902,382,""
0.0484631,2.09104,383,""
0.0588731,2.61138,384,""
0.0390621,2.86218,385,""
0.065743,3.36606,386,""
0.061929,2.86925,387,""
0.0686648,2.46456,388,""
0.0506326,2.96055,389,""
0.0100834,1.2302,390,""
0.0188079,1.90542,391,""
0.124225,3.54779,392,""
0.113372,3.69241,393,""
0.123776,3.96228,394,""
0.0683441,3.5648,395,""
0.10435,3.76994,396,""
0.0981043,4.25299,397,""
0.169143,3.82778,398,""
0.151023,3.6778,399,""
0.0881201,3.6533,400,""
0.0491163,3.51047,401,""
0.0534377,3.21799,402,""
0.0694521,3.06449,403,""
0.0160027,2.41456,404,""
0.0488189,2.95503,405,""
0.102023,3.3365,406,""
0.0335334,1.87556,407,""
0.0881434,3.53316,408,""
0.0922082,4.19718,409,""
0.07487,3.78589,410,""
0.0540151,3.2224,411,""
0.0997489,3.9255,412,""
0.0589955,3.77008,413,""
0.0674518,4.24238,414,""
0.175103,4.47101,415,""
0.0904995,4.66921,416,""
0.125619,4.88911,417,""
0.052178,3.01091,418,""
0.0990957,4.53233,419,""
0.0514491,4.26889,420,""
0.0373883,2.66873,421,""
0.0598412,4.66915,422,""
0.0689389,4.71427,423,""
0.0757448,5.11604,424,""
0.0725955,4.05439,425,""
0.103388,4.50753,426,""
0.0451973,4.56984,427,""
0.107342,4.89688,428,""
0.154773,4.76126,429,""
0.149063,4.50028,430,""
0.0772494,4.67019,431,""
0.132303,4.83741,432,""
0.155998,4.87444,433,""
0.103919,4.51199,434,""
0.062588,4.76393,435,""
0.0925406,4.11536,436,""
0.060576,3.29614,437,""
0.14427,3.93337,438,""
0,-inf,439,""
0.0931005,4.12659,440,""
0.0515657,3.90991,441,""
0.0553914,2.97325,442,""
0.0675509,2.646,443,""
0,-inf,444,""
0,-inf,445,""
0,-inf,446,""
0,-inf,447,""
0,-inf,448,""
0.0758847,3.33715,449,""
0.0450981,3.11898,450,""
0,-inf,451,""
0.0872103,4.71381,452,""
0.130221,4.75441,453,""
0.0756398,3.85161,454,""
0.105272,4.45501,455,""
0.0526271,3.44798,456,""
0.0603485,4.38898,457,""
0.0588556,4.73585,458,""
0.116691,4.68062,459,""
0.0534436,3.4124,460,""
0,-inf,461,""
0,-inf,462,""
0,-inf,463,""
0,-inf,464,""
0,-inf,465,""
0,-inf,466,""
0,-inf,467,""
0.114993,3.48059,468,""
0.103545,3.80065,469,""
0.0450748,2.51288,470,""
0.0291479,2.24157,471,""
0.22328,4.62161,472,""
0.206502,4.7578,473,""
0.0567677,4.24233,474,""
0.0486206,4.06096,475,""
0.200559,4.75874,476,""
0.0233684,2.52547,477,""
0.0514257,3.13511,478,""
0.106007,4.28326,479,""
0.0515249,3.66766,480,""
0.162652,4.44578,481,""
0.0488014,2.76404,482,""
0.0451156,1.56863,483,""
