"muscles_p1-final.Label-Analysis"
"Volume3d","Flatness","FirstPointZ","FeretShape3d","index"
0,-1,-2,nan,635
0.0898696,0.766265,679,9.58462,636
0.0447482,0.693151,619,7.93461,637
0.12717,0.694982,579,5.28875,638
0.0653231,0.454264,577,8.84301,639
0.0889773,0.514638,609,6.94648,640
0.0830171,0.372514,685,6.85044,641
0,-1,-2,nan,642
0,-1,-2,nan,643
0,-1,-2,nan,644
0,-1,-2,nan,645
0,-1,-2,nan,646
0,-1,-2,nan,647
0,-1,-2,nan,648
0,-1,-2,nan,649
0,-1,-2,nan,650
0,-1,-2,nan,651
0,-1,-2,nan,652
0,-1,-2,nan,653
0.0399019,0.343502,575,5.23346,654
0,-1,-2,nan,655
0,-1,-2,nan,656
0.0687523,0.730082,620,5.28915,657
0.0842885,0.497678,615,5.27292,658
0.0344957,0.683002,626,6.15554,659
0.064565,0.488756,563,7.75229,660
0.0168134,0.51517,632,7.01343,661
0.0205633,0.492182,680,5.04357,662
0.0604244,0.58883,600,8.07186,663
0.0519098,0.706514,599,6.77798,664
0.0710909,0.531917,572,7.0623,665
0.0341575,0.380527,508,7.36541,666
0.0462762,0.570136,627,6.80762,667
0.0410799,0.588866,592,8.30895,668
0.0612175,0.774587,661,7.2775,669
0.0439026,0.398645,652,6.37464,670
0.0395111,0.76801,637,7.93173,671
0.0660288,0.561945,666,6.54923,672
0.0757389,0.395573,627,9.42279,673
0.0345307,0.342264,601,7.43699,674
0.0567561,0.643314,499,5.19086,675
0.0282614,0.695322,554,5.38444,676
0.0329328,0.725929,549,6.16521,677
0.0282497,0.360241,590,5.99614,678
0.0461828,0.167426,509,10.9689,679
0.0217297,0.176969,597,6.89701,680
0.0265235,0.749494,654,5.19483,681
0.0540617,0.453595,655,5.15542,682
0.0348981,0.732202,683,7.35251,683
0.0923249,0.288393,662,8.61259,684
0.0480432,0.316679,628,6.70513,685
0.0361403,0.287942,597,7.33144,686
0.0417389,0.721032,650,7.18405,687
0.0340641,0.440907,714,7.34337,688
0.0380823,0.850058,686,9.65462,689
0.0317839,0.26262,722,8.03953,690
0.0413482,0.351623,681,9.05389,691
0.0515774,0.341147,672,7.54512,692
0.0341166,0.655679,711,4.70092,693
0.024424,0.342604,653,9.29482,694
0.0615674,0.702096,692,10.0883,695
0.0499911,0.315396,691,6.91268,696
0,-1,-2,nan,697
0,-1,-2,nan,698
0,-1,-2,nan,699
0,-1,-2,nan,700
0,-1,-2,nan,701
0,-1,-2,nan,702
0,-1,-2,nan,703
0,-1,-2,nan,704
0,-1,-2,nan,705
0,-1,-2,nan,706
0,-1,-2,nan,707
0,-1,-2,nan,708
0,-1,-2,nan,709
0,-1,-2,nan,710
0,-1,-2,nan,711
0,-1,-2,nan,712
0,-1,-2,nan,713
0,-1,-2,nan,714
0.0544816,0.501725,684,6.67489,715
0,-1,-2,nan,716
0,-1,-2,nan,717
0.0365602,0.235585,596,5.71532,718
0.0393537,0.411238,517,8.21488,719
0.0329503,0.202854,571,10.119,720
0.0368693,0.357872,609,5.63643,721
0.014813,0.809859,615,5.25771,722
0.0264302,0.198687,614,6.53116,723
0.0785091,0.734125,574,7.13096,724
0.193602,0.595412,653,9.78829,725
0.0351722,0.901405,675,6.02858,726
0.0316031,0.253322,607,6.47603,727
0.0537818,0.521222,519,6.90476,728
0.0509825,0.751368,552,6.66837,729
0.0214906,0.833671,334,4.98233,730
0.0163876,0.658583,344,5.55378,731
0.00805386,0.760451,361,4.31361,732
0.0205516,0.19464,353,4.91372,733
0.0106199,0.249483,335,4.26852,734
0,-1,-2,nan,735
0,-1,-2,nan,736
0,-1,-2,nan,737
0,-1,-2,nan,738
0.0138333,0.302375,342,5.37459,739
0.0221321,0.410612,335,5.32817,740
0,-1,-2,nan,741
0,-1,-2,nan,742
0.0424388,0.348734,349,4.69762,743
0.0222662,0.428953,345,5.11511,744
0.0410274,0.570347,360,3.77637,745
0.038858,0.842401,371,4.09052,746
0,-1,-2,nan,747
0,-1,-2,nan,748
0,-1,-2,nan,749
0,-1,-2,nan,750
0,-1,-2,nan,751
0,-1,-2,nan,752
0,-1,-2,nan,753
0,-1,-2,nan,754
0,-1,-2,nan,755
0,-1,-2,nan,756
0.00875952,0.348816,416,3.14466,757
0.00565695,0.502313,425,3.96305,758
0.00819966,0.617341,455,3.87601,759
0.00555197,0.475315,474,3.20607,760
0.00993173,0.400505,406,5.23078,761
0.00272933,0.374339,414,2.98697,762
0,-1,-2,nan,763
0,-1,-2,nan,764
0,-1,-2,nan,765
0,-1,-2,nan,766
0,-1,-2,nan,767
0,-1,-2,nan,768
0,-1,-2,nan,769
0,-1,-2,nan,770
0,-1,-2,nan,771
0,-1,-2,nan,772
0,-1,-2,nan,773
0,-1,-2,nan,774
0,-1,-2,nan,775
0,-1,-2,nan,776
0,-1,-2,nan,777
0.00349914,0.745481,437,2.20235,778
0,-1,-2,nan,779
0,-1,-2,nan,780
0,-1,-2,nan,781
0.00347581,0.294678,463,3.87018,782
0,-1,-2,nan,783
0.00171458,0.46191,473,2.83747,784
0,-1,-2,nan,785
